,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,Sponsor party
137,A10448,https://www.nysenate.gov/legislation/bills/2009/a10448/amendment/original,"Extends from December 31, 2010 to December 31, 2012, the deadline for  requests for release of records under Jonathan's law for incidents before May 5, 2007"," July 30, 2010",Mental Hygiene,GORDON,
138,A10620,https://www.nysenate.gov/legislation/bills/2009/a10620/amendment/original,"Designates a bridge on interstate route 86 over Falconer - Kimball Road in the town of Ellicott as the ""Roger Tory Peterson Memorial Bridge"""," July 30, 2010",Highway Law,PARMENT,
139,A10770,https://www.nysenate.gov/legislation/bills/2009/a10770/amendment/original,Relates to the rate of regular interest used in the actuarial valuation of liabilities for the purpose of calculating contributions to certain retirement systems," July 30, 2010",New York City Administrative Code,ABBATE,
140,A10786,https://www.nysenate.gov/legislation/bills/2009/a10786/amendment/original,Relates to the imposition of sales and compensating use taxes in the county of Erie," July 30, 2010",Tax Law,SCHIMMINGER,
141,A10992,https://www.nysenate.gov/legislation/bills/2009/a10992/amendment/original,Extends certain provisions regarding the payment of fees and other charges by credit card," July 30, 2010",Vehicle and Traffic Law,GANTT,
142,A11237,https://www.nysenate.gov/legislation/bills/2009/a11237/amendment/original,Relates to the base proportions of approved assessing units in the county of Nassau," July 30, 2010",Real Property Tax Law,WEISENBERG,
143,A11301,https://www.nysenate.gov/legislation/bills/2009/a11301/amendment/original,Relates to repair of damaged pesticide containers," July 30, 2010",Environmental Conservation Law,SWEENEY,
144,A9010,https://www.nysenate.gov/legislation/bills/2009/a9010/amendment/original,Relates to the Freeport community development agency," July 30, 2010",General Municipal Law,HOOPER,
145,A529,https://www.nysenate.gov/legislation/bills/2009/a529/amendment/original,Establishes a civil remedy for victims of bias-related violence," July 30, 2010",Civil Rights Law,DESTITO,
146,A9898,https://www.nysenate.gov/legislation/bills/2009/a9898/amendment/original,Makes provisions permanent relating to the establishment of an alternative dispute resolution system to resolve certain claims through collective bargaining agreements," July 30, 2010",Workers' Compensation Law,MILLER M,
147,A11023,https://www.nysenate.gov/legislation/bills/2009/a11023/amendment/original,Relates to the residency requirement for the Boght Community fire district in Albany county," July 30, 2010",Town Law,REILLY,
148,A11136,https://www.nysenate.gov/legislation/bills/2009/a11136/amendment/original,Relates to the residency requirement for the Armor Fire Company in Erie county," July 30, 2010",Town Law,QUINN,
149,A11516,https://www.nysenate.gov/legislation/bills/2009/a11516/amendment/original,"Creates an exemption to the residency requirement for firefighters of the Huguenot Fire Co., Inc."," July 30, 2010",Not-for-Profit Corporation Law,GUNTHER,
150,S6763,https://www.nysenate.gov/legislation/bills/2009/s6763/amendment/original,Extends the effectiveness of chapter 405 of the laws of 2005 for two years," July 30, 2010",Albany County,BRESLIN,
151,S8173,https://www.nysenate.gov/legislation/bills/2009/s8173/amendment/original,"Relates to a real estate tax abatement program for certain commercial, industrial and manufacturing properties in a city with a population of one million or more"," July 30, 2010",Real Property Tax Law,KRUEGER,
152,S8215,https://www.nysenate.gov/legislation/bills/2009/s8215/amendment/original,"Relates to designating a portion of the state highway system in the town of Shelter Island as the ""Lt. Joseph J. Theinert Memorial Way"""," July 30, 2010",Highway Law,LAVALLE,
153,S8227,https://www.nysenate.gov/legislation/bills/2009/s8227/amendment/original,"Makes provisions relating to HIV testing, including consent for such testing, required offering for such testing, confidentiality and disclosure"," July 30, 2010",Public Health Law,DUANE,
154,S5906,https://www.nysenate.gov/legislation/bills/2009/s5906/amendment/original,"Authorizes the town of Ramapo to file an application for exemption from real property taxes for a certain parcel of land located in the town of Ramapo, county of Rockland"," July 30, 2010",Rockland County,MORAHAN,
155,A10049,https://www.nysenate.gov/legislation/bills/2009/a10049/amendment/original,Relating to payment in lieu of taxes for property acquired for park or recreational purposes by town of Hempstead," July 30, 2010",Town Law,WEISENBERG,
156,S7696,https://www.nysenate.gov/legislation/bills/2009/s7696/amendment/original,Relates to the sale of bonds and notes of the city of New York," July 15, 2010",Local Finance Law,KRUGER,
157,S8312,https://www.nysenate.gov/legislation/bills/2009/s8312/amendment/original,Provides that certain discretionary purchases shall be subject to written internal controls established by each state agency," July 15, 2010",State Finance Law,HASSELL-THOMPSON,
158,S8313,https://www.nysenate.gov/legislation/bills/2009/s8313/amendment/original,Relates to expanding opportunities for minority and women-owned business enterprises in procurements by the state and public authorities," July 15, 2010",Public Authorities Law,HASSELL-THOMPSON,
159,S8314,https://www.nysenate.gov/legislation/bills/2009/s8314/amendment/original,Relates to expanding opportunities for women and minority-owned business enterprises and increasing competition and diversity in procurements by the state and its pu," July 15, 2010",Executive Law,HASSELL-THOMPSON,
160,S6699,https://www.nysenate.gov/legislation/bills/2009/s6699/amendment/original,Relates to extending the provisions of chapter 591 of 2001 relating to limiting the check cashing exemption for national banks," July 15, 2010",Banks,FOLEY,
161,A6964,https://www.nysenate.gov/legislation/bills/2009/a6964/amendment/original,Relates to unemployment benefits for innocent bystanders during industry controversy," July 15, 2010",Labor Law,JOHN,
162,S7099,https://www.nysenate.gov/legislation/bills/2009/s7099/amendment/original,Relates to the licensing of slaughterhouses," July 15, 2010",Agriculture and Markets Law,AUBERTINE,
163,S7145,https://www.nysenate.gov/legislation/bills/2009/s7145/amendment/original,Includes a kinetic energy storage device utilizing flywheels or compressed air in the definition of an alternate energy production facility," July 15, 2010",Public Service Law,AUBERTINE,
164,S7149,https://www.nysenate.gov/legislation/bills/2009/s7149/amendment/original,Provides that in certain cases notification can be provided by overnight delivery service with proof of mailing or by personal services," July 15, 2010",Alcoholic Beverage Control Law,STACHOWSKI,
165,S7422,https://www.nysenate.gov/legislation/bills/2009/s7422/amendment/original,Relates to redistributing 2009 bond volume allocations," July 15, 2010",Bonds and Notes,ESPADA,
166,S7439,https://www.nysenate.gov/legislation/bills/2009/s7439/amendment/original,Relates to the minimum hours of supervised driving requirement for licensing," July 15, 2010",Vehicle and Traffic Law,DILAN,
167,S7444,https://www.nysenate.gov/legislation/bills/2009/s7444/amendment/original,"Relates to authorized and unissued shares of bank, trust company and investment company stock and changes the presumption as to preemptive rights of shareholders"," July 15, 2010",Banking Law,FOLEY,
168,S7446,https://www.nysenate.gov/legislation/bills/2009/s7446/amendment/original,Relates to bank holding companies; simplifies and streamlines the application of the bank holding company provisions; repealer," July 15, 2010",Banking Law,FOLEY,
169,S7582,https://www.nysenate.gov/legislation/bills/2009/s7582/amendment/original,Extends certain provisions relating to the powers of the state of New York mortgage agency," July 15, 2010",Public Authorities Law,PERKINS,
170,S7827,https://www.nysenate.gov/legislation/bills/2009/s7827/amendment/original,Requires reporting of newborn hearing screening results and data to the department of health," July 15, 2010",Public Health Law,DUANE,
171,S8017,https://www.nysenate.gov/legislation/bills/2009/s8017/amendment/original,Relates to charter schools," July 15, 2010",Education Law,OPPENHEIMER,
172,S8070,https://www.nysenate.gov/legislation/bills/2009/s8070/amendment/original,Relates to appliance and equipment energy efficiency standards," July 15, 2010",Energy Law,SQUADRON,
173,S8367,https://www.nysenate.gov/legislation/bills/2009/s8367/amendment/original,"Enacts the ""city of Newburgh fiscal recovery act"" to authorize such city to issue bonds to liquidate certain deficits, and impose certain budgetary requirements"," July 15, 2010","Newburgh, City of",STEWART-COUSINS,
174,A7961,https://www.nysenate.gov/legislation/bills/2009/a7961/amendment/original,Relates to the filing of a probation report for certain misdemeanor cases," July 15, 2010",Criminal Procedure Law,O'DONNELL,
175,A8952,https://www.nysenate.gov/legislation/bills/2009/a8952/amendment/original,"Relates to modifying child support orders, employer reporting of new hires and quarterly earnings, work experience programs and noncustodial earned income tax"," July 15, 2010",Tax Law,WEINSTEIN,
176,A9096,https://www.nysenate.gov/legislation/bills/2009/a9096/amendment/original,Designates the Bushkill stream as an inland waterway," July 15, 2010",Executive Law,CROUCH,
177,A9181,https://www.nysenate.gov/legislation/bills/2009/a9181/amendment/original,Includes Cherry Grove fire district as among those districts that have elections on the second Tuesday in July," July 15, 2010",Town Law,FIELDS,
178,A9512,https://www.nysenate.gov/legislation/bills/2009/a9512/amendment/original,Renames the Seek Program as the Percy Ellis Sutton SEEK Program," July 15, 2010",Education Law,WRIGHT,
179,A9768,https://www.nysenate.gov/legislation/bills/2009/a9768/amendment/original,"Authorizes the town board of the town of Rockland, in the county of Sullivan, to diminish the area of the Roscoe sewer district"," July 15, 2010",Town Law,GUNTHER,
180,A9789,https://www.nysenate.gov/legislation/bills/2009/a9789/amendment/original,Extends certain provisions of law relating to tuition waivers for police officer students of the city university of New York," July 15, 2010",Education,LENTOL,
181,A9810,https://www.nysenate.gov/legislation/bills/2009/a9810/amendment/original,Relates to certain funds used by the center for advanced technology," July 15, 2010",Public Authorities Law,GABRYSZAK,
182,A10118,https://www.nysenate.gov/legislation/bills/2009/a10118/amendment/original,Amends chapter 219 of the laws of 2003 in relation to extending the provisions of such chapter," July 15, 2010",Education Law,BING,
183,A10551,https://www.nysenate.gov/legislation/bills/2009/a10551/amendment/original,Relates to notice requirements pertaining to residential utility service to residential health care facilities," July 15, 2010",Public Service Law,JEFFRIES,
184,A10772,https://www.nysenate.gov/legislation/bills/2009/a10772/amendment/original,Authorizes persons who held temporary employment as certain members of the emergency veterinary corps to appear before a state agency," July 15, 2010",Public Officers Law,REILLY,
185,A10791,https://www.nysenate.gov/legislation/bills/2009/a10791/amendment/original,Discontinues the requirement that certificates of incorporation be approved by the commissioner of mental retardation and developmental disabilities; repealer," July 15, 2010",Not-for-Profit Corporation Law,ORTIZ,
186,A11064,https://www.nysenate.gov/legislation/bills/2009/a11064/amendment/original,Extends the effectiveness of chapter 618 of the laws of 1998," July 15, 2010",Municipalities,BENEDETTO,
187,A11067,https://www.nysenate.gov/legislation/bills/2009/a11067/amendment/original,Extends the effectiveness of chapter 552 of the laws of 1995," July 15, 2010",Education,MAISEL,
188,A11320,https://www.nysenate.gov/legislation/bills/2009/a11320/amendment/original,Expands the definition of eligible applicant for the affordable home ownership development program," July 15, 2010",Private Housing Finance Law,LOPEZ V,
